,TOTAL CONSUMPTION,TEMP,HIGH_TEMP,LOW_TEMP,RAIN_COND,Temp_Dif
2388,1234105.0,25.7,29.7,21.7,0,8.0
2389,1170559.0,21.7,25.4,17.3,1,8.099999999999998
2390,1149209.0,21.5,25.1,19.0,1,6.100000000000001
2391,1131427.0,23.4,29.2,20.1,1,9.099999999999998
2392,1156713.0,24.7,28.6,20.9,0,7.700000000000003
2393,1154186.0,24.7,27.8,20.8,0,7.0
2394,1122830.0,23.9,26.1,20.3,1,5.800000000000001
2395,1099967.0,23.4,27.4,19.3,1,8.099999999999998
2396,1121582.0,23.7,27.7,21.4,0,6.300000000000001
2397,1105432.0,22.7,27.2,20.3,0,6.899999999999999
2398,1098590.0,20.1,22.6,18.4,0,4.200000000000003
2399,1101238.0,19.7,22.9,17.7,0,5.199999999999999
2400,1119308.0,19.8,23.8,17.3,0,6.5
2401,1150547.0,20.1,24.4,15.1,0,9.299999999999999
2402,1124895.0,20.9,25.9,15.3,0,10.599999999999998
2403,1137566.0,22.1,26.8,17.9,0,8.900000000000002
2404,1144822.0,22.8,27.7,18.7,0,9.0
2405,1133323.0,22.4,26.8,18.9,1,7.900000000000002
2406,1104778.0,22.0,25.1,19.9,0,5.200000000000003
2407,1112624.0,22.0,26.1,18.8,0,7.300000000000001
2408,1091305.0,20.7,24.4,18.9,1,5.5
2409,1089219.0,22.9,27.6,19.7,1,7.900000000000002
2410,1114005.0,23.3,27.4,19.5,0,7.899999999999999
2411,1096434.0,21.7,26.9,17.2,0,9.7
2412,1107386.0,20.5,23.7,18.4,0,5.300000000000001
2413,1108524.0,20.3,25.3,16.9,0,8.400000000000002
2414,1097835.0,19.1,21.6,16.0,0,5.600000000000001
2415,1143869.0,19.9,24.7,15.4,0,9.299999999999999
2416,1107423.0,20.9,25.1,17.9,0,7.200000000000003
2417,1130443.0,21.4,24.8,19.5,0,5.300000000000001
2418,1123761.0,21.7,25.3,18.3,0,7.0
2419,1090121.0,21.6,26.6,19.4,1,7.200000000000003
2420,1051481.0,21.3,24.5,19.1,1,5.399999999999999
2421,1070939.0,17.9,20.5,15.7,1,4.800000000000001
2422,1114515.0,15.4,16.7,14.2,1,2.5
2423,1096836.0,16.2,18.9,14.1,0,4.799999999999999
2424,1082971.0,16.4,22.3,11.3,0,11.0
2425,1072703.0,16.5,21.7,11.6,0,10.1
2426,1056143.0,15.6,17.3,13.1,0,4.200000000000001
2427,1083473.0,15.6,18.8,12.3,0,6.5
2428,1058147.0,16.2,17.8,13.6,0,4.200000000000001
2429,1076826.0,15.5,17.3,14.4,0,2.9000000000000004
2430,1064398.0,14.8,16.6,13.7,0,2.900000000000002
2431,1061873.0,15.4,20.2,12.3,0,7.899999999999999
2432,1109399.0,15.8,22.6,10.6,0,12.000000000000002
2433,1103746.0,15.5,21.8,9.7,0,12.100000000000001
2434,1067086.0,15.1,21.8,8.9,0,12.9
2435,1071434.0,15.3,21.7,9.5,0,12.2
2436,1080906.0,15.8,21.7,10.8,0,10.899999999999999
2437,1034661.0,15.7,21.2,11.2,0,10.0
2438,1067530.0,16.8,23.5,11.1,0,12.4
2439,1063284.0,19.3,24.9,12.0,0,12.899999999999999
2440,1063556.0,19.3,26.1,14.6,0,11.500000000000002
2441,1075578.0,18.4,24.2,14.0,0,10.2
2442,1059892.0,18.3,23.7,13.7,0,10.0
2443,1073972.0,17.8,23.1,13.1,0,10.000000000000002
2444,1049399.0,17.3,20.9,14.2,0,6.699999999999999
2445,1050915.0,16.3,21.1,11.2,0,9.900000000000002
2446,1067001.0,17.4,21.8,12.9,0,8.9
2447,1062713.0,16.7,21.6,12.0,0,9.600000000000001
2448,1063780.0,16.7,22.4,12.2,0,10.2
2449,1056982.0,16.3,20.2,12.3,1,7.899999999999999
2450,1051623.0,18.1,21.7,13.5,1,8.2
2451,1041707.0,20.2,22.1,18.2,0,3.900000000000002
2452,1042915.0,20.1,22.4,18.6,0,3.799999999999997
2453,1049894.0,19.1,21.9,15.4,0,6.499999999999998
2454,1003703.0,17.8,19.8,14.3,1,5.5
2455,1022337.0,17.1,20.2,13.7,0,6.5
2456,1001175.0,16.8,18.8,14.5,1,4.300000000000001
2457,1025011.0,15.2,17.8,12.3,1,5.5
2458,1044255.0,15.2,18.2,12.6,0,5.6
2459,1014506.0,12.6,15.9,8.9,0,7.0
2460,1002727.0,12.7,18.6,7.3,0,11.3
2461,1003749.0,14.7,20.3,9.4,0,10.9
2462,1007796.0,14.7,18.8,11.2,0,7.600000000000001
2463,1005290.0,13.4,17.4,10.4,0,6.999999999999998
2464,1019305.0,12.6,15.9,9.3,0,6.6
2465,997776.0,12.0,17.2,7.6,0,9.6
2466,1010621.0,11.6,17.1,7.2,1,9.900000000000002
2467,1008162.0,11.8,17.6,6.5,0,11.100000000000001
2468,1009248.0,12.1,16.5,7.9,0,8.6
2469,985698.0,12.2,14.3,10.9,0,3.4000000000000004
2470,974530.0,10.4,11.8,8.8,1,3.0
2471,993920.0,8.7,10.0,6.3,0,3.7
2472,1001886.0,10.1,16.1,4.7,0,11.400000000000002
2473,1021956.0,10.2,16.6,5.2,0,11.400000000000002
2474,998055.0,10.9,15.2,6.6,0,8.6
2475,1006563.0,10.8,13.3,7.8,0,5.500000000000001
2476,991813.0,10.4,12.1,9.7,0,2.4000000000000004
2477,997752.0,10.6,13.3,7.6,0,5.700000000000001
2478,1030730.0,9.1,14.8,4.2,0,10.600000000000001
2479,1004527.0,9.3,15.3,3.9,0,11.4
2480,1005642.0,9.7,16.2,4.9,0,11.299999999999999
2481,1025408.0,10.1,17.3,4.5,0,12.8
2482,1019897.0,12.2,19.2,6.5,0,12.7
2483,1041096.0,12.1,19.1,6.9,0,12.200000000000001
2484,939717.0,11.8,18.3,7.0,0,11.3
2485,948275.0,12.4,15.8,8.3,0,7.5
2486,951168.0,12.3,17.4,8.4,0,8.999999999999998
2487,995837.0,11.1,17.3,6.4,0,10.9
2488,998432.0,11.9,18.1,6.4,0,11.700000000000001
2489,968569.0,9.7,12.6,5.8,0,6.8
2490,1024309.0,3.6,5.8,2.1,0,3.6999999999999997
2491,917909.0,4.2,8.1,1.4,0,6.699999999999999
2492,953634.0,7.7,11.7,3.8,0,7.8999999999999995
2493,938712.0,10.9,14.7,6.2,1,8.5
2494,991060.0,13.2,16.8,8.3,1,8.5
2495,1013720.0,16.9,20.6,12.8,0,7.800000000000001
2496,971903.0,15.6,20.3,11.8,0,8.5
2497,982724.0,14.6,18.1,12.3,1,5.800000000000001
2498,1003923.0,12.9,17.9,8.6,0,9.299999999999999
2499,1028085.0,12.9,17.2,8.3,0,8.899999999999999
2500,958129.0,13.1,14.3,11.8,1,2.5
2501,1004089.0,14.1,19.2,10.0,1,9.2
2502,1018257.0,16.8,21.4,13.6,0,7.799999999999999
2503,1016286.0,15.2,18.1,11.7,0,6.400000000000002
2504,1009800.0,12.4,16.7,8.6,0,8.1
2505,1008152.0,12.3,15.8,7.5,0,8.3
2506,983047.0,15.8,16.3,14.7,1,1.6000000000000014
2507,1003911.0,12.7,16.2,8.7,1,7.5
2508,981959.0,6.1,8.9,4.3,0,4.6000000000000005
2509,982688.0,6.1,9.8,2.9,0,6.9
2510,953137.0,7.5,8.8,6.6,1,2.200000000000001
2511,1004514.0,9.1,13.2,6.7,0,6.499999999999999
2512,989317.0,8.2,11.6,5.6,0,6.0
2513,992599.0,4.8,6.7,3.3,0,3.4000000000000004
2514,964440.0,5.2,7.6,3.7,0,3.8999999999999995
2515,989601.0,5.8,7.3,4.4,0,2.8999999999999995
2516,972260.0,7.4,14.2,1.6,0,12.6
2517,1004069.0,9.4,13.1,5.8,0,7.3
2518,1011990.0,11.3,16.4,5.7,0,10.7
2519,1015136.0,12.9,18.6,7.7,0,10.900000000000002
2520,1025942.0,14.4,17.8,11.2,0,6.600000000000001
2521,1008227.0,12.9,17.0,7.8,0,9.2
2522,1007799.0,15.7,20.3,11.8,0,8.5
2523,1014747.0,14.5,21.1,9.5,0,11.600000000000001
2524,1010256.0,14.4,20.0,9.7,0,10.3
2525,991836.0,14.6,16.7,11.4,1,5.299999999999999
2526,958679.0,9.7,14.5,5.6,1,8.9
2527,993821.0,7.3,10.6,4.5,1,6.1
2528,987876.0,8.1,12.1,4.8,0,7.3
2529,984894.0,8.7,13.1,4.4,0,8.7
2530,986126.0,10.3,15.1,5.2,0,9.899999999999999
2531,984419.0,12.3,15.6,7.6,1,8.0
2532,1002088.0,16.1,19.6,13.8,1,5.800000000000001
2533,999945.0,15.3,18.6,11.9,1,6.700000000000001
2534,1021664.0,16.4,18.7,12.8,0,5.899999999999999
2535,1006088.0,16.7,20.7,12.7,0,8.0
2536,1020561.0,19.1,22.8,15.5,0,7.300000000000001
2537,1013016.0,17.6,23.1,13.7,0,9.400000000000002
2538,1016491.0,17.1,23.6,11.9,0,11.700000000000001
2539,999835.0,17.9,22.4,13.7,0,8.7
2540,1017387.0,17.6,22.4,14.3,0,8.099999999999998
2541,1026417.0,14.8,19.1,10.9,0,8.200000000000001
2542,999011.0,13.8,18.7,9.7,0,9.0
2543,1025416.0,14.5,20.3,9.2,0,11.100000000000001
2544,1030752.0,15.1,20.1,10.5,0,9.600000000000001
2545,988741.0,15.7,17.7,13.4,1,4.299999999999999
2546,1007761.0,14.9,19.0,10.4,1,8.6
2547,1007340.0,15.4,18.2,13.4,0,4.799999999999999
2548,1046984.0,14.9,19.1,10.1,0,9.000000000000002
2549,1024152.0,15.1,19.2,9.7,0,9.5
2550,1024728.0,17.0,20.3,13.7,0,6.600000000000001
2551,1028925.0,17.6,21.1,13.6,0,7.500000000000002
2552,1038165.0,15.1,19.1,10.7,0,8.400000000000002
2553,1037391.0,14.9,18.9,10.4,1,8.499999999999998
2554,1005343.0,12.7,17.3,9.2,1,8.100000000000001
2555,1048652.0,13.6,18.3,8.9,0,9.4
2556,1017630.0,14.1,17.8,9.3,0,8.5
2557,1028515.0,16.1,19.1,11.8,0,7.300000000000001
2558,1005191.0,16.8,19.9,15.2,0,4.699999999999999
2559,992996.0,15.1,18.6,11.2,1,7.400000000000002
2560,1014728.0,13.7,17.6,10.3,0,7.300000000000001
2561,1010116.0,14.4,17.1,11.8,0,5.300000000000001
2562,976630.0,15.2,17.1,13.2,1,3.900000000000002
2563,951602.0,15.9,19.4,12.4,1,6.999999999999998
2564,944640.0,10.4,12.5,8.1,1,4.4
2565,993680.0,9.9,12.6,8.1,1,4.5
2566,986049.0,10.4,12.4,9.2,0,3.200000000000001
2567,988141.0,10.4,12.4,8.6,0,3.8000000000000007
2568,986266.0,10.6,14.0,7.4,1,6.6
2569,1031925.0,14.2,19.4,9.8,0,9.599999999999998
2570,1026693.0,14.8,20.7,9.0,0,11.7
2571,1039094.0,14.7,19.3,9.6,0,9.700000000000001
2572,1018220.0,16.6,20.4,12.0,0,8.399999999999999
2573,990899.0,17.9,20.6,15.7,0,4.900000000000002
2574,1028898.0,16.6,19.4,14.6,0,4.799999999999999
2575,981128.0,13.5,18.2,9.2,1,9.0
2576,988148.0,11.3,15.7,8.4,0,7.299999999999999
2577,963596.0,10.7,14.6,8.9,1,5.699999999999999
2578,1017855.0,11.4,15.8,6.9,0,8.9
2579,1027534.0,13.7,19.1,8.3,0,10.8
2580,1039735.0,16.2,21.5,10.8,0,10.7
2581,1043189.0,16.7,22.1,11.3,0,10.8
2582,1049290.0,17.1,21.6,12.5,0,9.100000000000001
2583,1077859.0,16.6,21.3,12.4,0,8.9
2584,1050237.0,18.3,22.6,13.3,0,9.3
2585,1082727.0,19.6,24.5,14.1,0,10.4
2586,1076345.0,18.8,24.2,14.0,0,10.2
2587,1093846.0,18.9,25.0,13.4,0,11.6
2588,1093179.0,19.3,25.6,13.7,0,11.900000000000002
2589,1076613.0,20.0,24.7,16.8,0,7.899999999999999
2590,1104789.0,19.7,23.9,16.4,0,7.5
2591,1074617.0,18.5,22.7,14.8,0,7.899999999999999
2592,1089405.0,17.8,23.0,13.4,0,9.6
2593,1122200.0,19.3,25.6,14.6,0,11.000000000000002
2594,1134616.0,19.5,25.1,13.9,0,11.200000000000001
2595,1131664.0,20.3,25.3,15.2,0,10.100000000000001
2596,1139262.0,21.9,28.7,15.6,0,13.1
2597,1161925.0,20.6,26.2,15.1,0,11.1
2598,1127300.0,20.5,26.3,14.3,0,12.0
2599,1147492.0,21.2,27.6,14.5,0,13.100000000000001
2600,1143015.0,22.4,28.2,16.6,0,11.599999999999998
2601,1176978.0,22.9,27.6,18.1,0,9.5
2602,1117790.0,17.8,21.3,15.7,0,5.600000000000001
2603,1155138.0,18.1,22.5,14.3,0,8.2
2604,1177656.0,18.9,22.9,16.4,0,6.5
2605,1122820.0,20.6,24.4,17.6,0,6.799999999999997
